,Item,Item_Code,SPAM_crop_num,SPAM_name,SPAM_name_abr,GAEZres06,GAEZres04,GAEZres04_group4mean,group_name,animal_bd_name,group_name_v2,group_name_v3,group_name_v4,group_name_v5,group_name_v6,group_name_v7,WWF_name,LCA_name
124,Melonseed,299,27,other oil crops,ooil,nes,,Oils,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",Beans & Pulses,Beans & Pulses
125,Tallowtree seed,305,27,other oil crops,ooil,nes,,Oils,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",Cereals & Oilcrops Misc.,Cereals & Oilcrops Misc.
126,Okra,430,41,vegetables,vege,veg,,Vegetables,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,Other Vegetables,Other Vegetables
127,Carobs,461,19,other pulses,opul,pls,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,Fruit and vegetables,Beans & Pulses,Beans & Pulses
128,Chicory roots,459,13,other roots,orts,rt3,,Roots,Roots and tubers,,Roots and tubers,Roots and tubers,Roots and tubers,Roots and tubers,Roots and tubers,"Grains, roots, starchy carbohydrates",Root Vegetables,Root Vegetables
129,Fruit; stone nes,541,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,Other Fruit,Other Fruit
130,Pigeon peas,197,17,pigeonpea,pige,nes,pig,,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",Peas,Peas
131,Jojoba seed,277,40,temperate fruit,temf,nes,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",Oils Misc.,Oils Misc.
132,Yautia (cocoyam),135,13,other roots,orts,rt3,,Roots,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Roots and tubers,Roots and tubers,"Grains, roots, starchy carbohydrates",Cassava and Other Roots,Other roots and tubers
133,Kapok fruit,310,39,tropical fruit,trof,frt,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",Oils Misc.,Oils Misc.
134,Kapokseed in shell,311,39,tropical fruit,trof,nes,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",Oils Misc.,Oils Misc.
135,Cassava leaves,378,12,cassava,cass,rt2,csv,,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",Cassava and Other Roots,Other roots and tubers
136,Karite nuts (sheanuts),263,40,temperate fruit,temf,frt,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",Nuts,Nuts
137,Bambara beans,203,21,groundnut,grou,nes,,Fruit_and_nuts,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Other,Other,"Legumes, beans, nuts",Beans & Pulses,Beans & Pulses
138,,,,,,,,,,,,,,,,,,
139,Meat; cattle,867,-99,ruminant meat,past,beef,Ruminant,,Ruminant meat,bvmeat,Cattle meat,Ruminant meat,,Ruminant meat,Ruminant meat,Ruminant meat,Bovine Meat (beef Herd),Bovine Meat (dairy herd)
139,Meat; cattle,867,-99,ruminant meat,past,beef,Ruminant,,Ruminant meat,bvmeat,Cattle meat,Ruminant meat,,Ruminant meat,Ruminant meat,Ruminant meat,Bovine Meat (beef Herd),Bovine Meat (beef herd)
140,Milk; whole fresh cow,882,-99,dairy,past,dairy,Ruminant,,Dairy,bvmilk,Dairy,Dairy,,Dairy,Dairy,Dairy and eggs,Milk,Milk
141,Meat; sheep,977,-99,ruminant meat,past,sheep,Ruminant,,Ruminant meat,sgmeat,Sheep and goat meat,Ruminant meat,,Ruminant meat,Ruminant meat,Ruminant meat,Mutton & Goat Meat,Lamb & Mutton
142,Meat; goat,1017,-99,ruminant meat,past,sheep,Ruminant,,Ruminant meat,sgmeat,Sheep and goat meat,Ruminant meat,,Ruminant meat,Ruminant meat,Ruminant meat,Mutton & Goat Meat,Lamb & Mutton
143,Meat; pig,1035,-99,meat,past,pig,Monogastric,,Pig meat,pigs,Pig meat,Pig meat,,Pig meat,Pig meat,Poultry and pig meat,Pig Meat,Pig Meat
144,Meat; chicken,1058,-99,meat,past,poultry,Monogastric,,Poultry meat,chickens,Poultry meat,Poultry meat,,Poultry meat,Poultry meat,Poultry and pig meat,Poultry Meat,Poultry Meat
145,Eggs; hen; in shell,1062,-99,eggs,past,egg,Monogastric,,Eggs,chickens,Eggs,Eggs,,Eggs,Eggs,Dairy and eggs,Eggs,Eggs
146,Meat; duck,1069,-99,meat,past,poultry,Monogastric,,Poultry meat,ducks,Poultry meat,Poultry meat,,Poultry meat,Poultry meat,Poultry and pig meat,Poultry Meat,Poultry Meat
147,Meat; goose and guinea fowl,1073,-99,meat,past,poultry,Monogastric,,Poultry meat,ducks,Poultry meat,Poultry meat,,Poultry meat,Poultry meat,Poultry and pig meat,Poultry Meat,Poultry Meat
148,Meat; turkey,1080,-99,meat,past,poultry,Monogastric,,Poultry meat,chickens,Poultry meat,Poultry meat,,Poultry meat,Poultry meat,Poultry and pig meat,Poultry Meat,Poultry Meat
149,Eggs; other bird; in shell,1091,-99,eggs,past,egg,Monogastric,,Eggs,ducks,Eggs,Eggs,,Eggs,Eggs,Dairy and eggs,Eggs,Eggs
150,Meat; horse,1097,-99,meat,past,,Ruminant,,Ruminant meat,past,Other ruminant meat,Ruminant meat,,Ruminant meat,Ruminant meat,Ruminant meat,"Meat, Other","Meat, Other"
151,Meat; rabbit,1141,-99,meat,past,,Monogastric,,,sgmeat,,,,,,,"Meat, Other","Meat, Other"
152,Meat nes,1166,-99,meat,past,,Ruminant,,Ruminant meat,past,Other ruminant meat,Ruminant meat,,Ruminant meat,Ruminant meat,Ruminant meat,"Meat, Other","Meat, Other"
,Crustaceans,,,,,,,,,,,,,,,Seafood,,Crustaceans (farmed)
,Fish,,,,,,,,,,,,,,,Seafood,,Fish (Farmed)
,Soybeans,,,,,,,,,,,,,,,"Legumes, beans, nuts",,Tofu
,Cheese,,,,,,,,,,,,,,,Dairy and eggs,,Cheese
,"Butter, Cream & Ghee",,,,,,,,,,,,,,,Dairy and eggs,,"Butter, Cream & Ghee"
,Water,,,,,,,,,,,,,,,,,Water
